City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Alofi,NU,80.6,few clouds,-19.06,-169.92,Taloa Heights
472,Sur,OM,86.74,scattered clouds,22.57,59.53,Sur Plaza Hotel
473,Luquillo,PR,84.2,scattered clouds,18.37,-65.72,Yunque Mar Beach Hotel
474,Naze,JP,87.8,light intensity shower rain,28.37,129.48,奄美ポートタワーホテル
476,San Patricio,MX,78.87,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
482,Gat,IL,81.0,clear sky,31.61,34.76,רגע בנחת
484,Kerema,PG,82.71,few clouds,-7.96,145.78,Elore Lodge
487,Progreso,MX,87.01,scattered clouds,21.28,-89.67,Playa Linda Hotel
490,Effingham,US,82.4,broken clouds,32.37,-81.33,Elizabeth Hobbs
491,Port Blair,IN,85.1,scattered clouds,11.67,92.75,Fortune Resort Bay Island
494,Rapid Valley,US,80.6,heavy intensity rain,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
497,Bairiki,KI,89.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
500,Broken Hill,AU,77.0,overcast clouds,-31.95,141.43,Daydream Motel & Cottages
504,Banyuwangi,ID,82.99,broken clouds,-8.23,114.36,Hotel Blambangan
505,Muscat,OM,86.0,scattered clouds,23.61,58.59,Mutrah Hotel
506,Rio Esteban,HN,80.6,clear sky,15.83,-86.3,Hotel La Fé
509,Jiwani,PK,81.07,few clouds,25.05,61.74,Al Mumtaz Transport Jiwani
510,Road Town,VG,84.0,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
515,Liancheng,CN,78.94,clear sky,24.05,105.08,Peace Hotel
519,Akyab,MM,83.68,overcast clouds,20.15,92.9,Hotel Memory
522,Harper,LR,75.2,light rain,4.38,-7.72,Screensaver
525,Russell,US,80.6,overcast clouds,32.35,-85.2,Macs
526,Manicore,BR,78.8,scattered clouds,-5.81,-61.3,Pousada da wanda
528,Nabire,ID,79.39,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
529,Mazagao,BR,84.2,scattered clouds,-0.12,-51.29,Casa Lima Santos
532,Lao Cai,VN,85.62,broken clouds,22.48,103.95,Legend Hotel
533,Palauig,PH,84.22,very heavy rain,15.44,119.9,Myhousebythesea
535,Oranjestad,AW,84.2,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
539,Zhicheng,CN,85.21,clear sky,30.3,111.5,Wangjiang Building
540,Nouakchott,MR,82.4,few clouds,18.09,-15.98,Hôtel Iman
545,Suez,EG,75.31,clear sky,29.97,32.53,Green House
546,Salinopolis,BR,79.61,broken clouds,-0.61,-47.36,Hotel Salinópolis
547,Enshi,CN,85.35,scattered clouds,30.3,109.48,Moevenpick Enshi
548,Puri,IN,84.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
