City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Abha,SA,18.22,42.51,68.0,93,0,5.61,clear sky
85,Pisz,PL,53.63,21.81,57.2,93,100,5.82,overcast clouds
86,Qaanaaq,GL,77.48,-69.36,39.24,89,97,2.71,overcast clouds
87,Sistranda,NO,63.73,8.83,50.0,87,75,2.24,broken clouds
88,Carnarvon,AU,-24.87,113.63,64.4,88,75,16.11,broken clouds
89,Abu Dhabi,AE,24.47,54.37,95.0,67,98,4.7,overcast clouds
90,Tasiilaq,GL,65.61,-37.64,42.8,93,100,2.24,light intensity shower rain
91,Atbasar,KZ,51.8,68.33,62.37,60,6,5.93,clear sky
92,Padilla,CO,3.22,-76.31,77.0,65,75,9.17,broken clouds
93,Daura,NG,11.55,11.41,72.19,91,100,7.61,overcast clouds
94,Troitsko-Pechorsk,RU,62.71,56.2,47.39,93,100,5.19,overcast clouds
95,Ushtobe,KZ,45.25,77.98,61.79,51,0,14.18,clear sky
96,Stornoway,GB,58.21,-6.39,48.99,87,43,8.05,scattered clouds
97,Sarkand,KZ,45.41,79.92,59.86,37,0,2.98,clear sky
98,Saskylakh,RU,71.92,114.08,62.2,44,0,4.72,clear sky
99,Tautira,PF,-17.73,-149.15,84.2,62,20,12.75,few clouds
100,Port Alfred,ZA,-33.59,26.89,56.71,68,0,9.6,clear sky
101,Port Elizabeth,ZA,-33.92,25.57,55.4,82,23,10.29,light rain
102,San Luis,AR,-33.3,-66.34,56.14,38,27,1.61,scattered clouds
103,Lata,PT,40.16,-8.33,62.01,78,0,1.01,clear sky
104,Talnakh,RU,69.49,88.4,51.8,81,84,4.47,broken clouds
105,Russell,US,32.35,-85.2,80.6,94,75,5.82,broken clouds
106,Busselton,AU,-33.65,115.33,53.01,85,0,12.55,clear sky
107,Upernavik,GL,72.79,-56.15,39.97,72,0,15.88,clear sky
108,Mecca,SA,21.43,39.83,86.7,19,0,5.28,clear sky
109,Saint George,US,37.1,-113.58,102.2,10,1,19.46,clear sky
